SRA,Especies,BioProject,BioSample,Bases (Gb)
ERR10768189,Acarichthys heckelii,PRJEB48774,SAMEA11744343,23.18
ERR10768230,Acarichthys heckelii,PRJEB48774,SAMEA11744341,16.3
ERR10789881,Acarichthys heckelii,PRJEB48774,SAMEA11744346,23.13
ERR10768270,Acaronia nassa,PRJEB48774,SAMEA11744439,18.59
ERR10768281,Acaronia nassa,PRJEB48774,SAMEA11744442,19.35
ERR10789892,Acaronia nassa,PRJEB48774,SAMEA11744324,21.02
ERR10768305,Aequidens pallidus,PRJEB48774,SAMEA11744500,21.81
ERR10768320,Aequidens pallidus,PRJEB48774,SAMEA11744567,21.81
ERR10789849,Aequidens pallidus,PRJEB48774,SAMEA11744538,27.82
ERR10789840,Apistogramma sp. 'Cuieiras',PRJEB48774,SAMEA11744528,22.37
ERR10768272,Apistogramma sp. 'Cuieiras',PRJEB48774,SAMEA11744485,20.94
ERR10789854,Apistogramma sp. 'Cuieiras',PRJEB48774,SAMEA11744532,27.88
ERR2143719,Arapaima gigas,PRJEB22808,SAMEA104324748,19.1
ERR2143721,Arapaima gigas,PRJEB22808,SAMEA104324749,19.1
SRR23574205,Arapaima gigas,PRJNA937305,SAMN33399130,40.3
ERR10789860,Astronotus ocellatus,PRJEB48774,SAMEA11744422,20.56
ERR10789886,Astronotus ocellatus,PRJEB48774,SAMEA11744425,24.95
ERR10789889,Astronotus ocellatus,PRJEB48774,SAMEA11744363,22.18
ERR10768340,Australoheros barbosae,PRJEB48774,SAMEA11744578,20.84
ERR10768346,Australoheros barbosae,PRJEB48774,SAMEA11744579,21.79
ERR10789837,Australoheros barbosae,PRJEB48774,SAMEA11744582,21.41
ERR10768338,Biotodoma cupido,PRJEB48774,SAMEA11744553,20.96
ERR10768339,Biotodoma cupido,PRJEB48774,SAMEA11744570,25.58
ERR10789847,Biotodoma cupido,PRJEB48774,SAMEA11744569,25.81
ERR10768232,Chaetobranchopsis orbicularis,PRJEB48774,SAMEA11744389,24.11
ERR10768240,Chaetobranchopsis orbicularis,PRJEB48774,SAMEA11744447,23.82
ERR10789905,Chaetobranchopsis orbicularis,PRJEB48774,SAMEA11744428,22.55
ERR10768282,Chaetobranchus flavescens,PRJEB48774,SAMEA11744449,23.3
ERR10768309,Chaetobranchus flavescens,PRJEB48774,SAMEA11744446,19.93
ERR10789908,Chaetobranchus flavescens,PRJEB48774,SAMEA11744455,18.84
ERR10768224,Cichla monoculus,PRJEB48774,SAMEA11744353,24.75
ERR10789866,Cichla monoculus,PRJEB48774,SAMEA11744399,19.57
ERR10789888,Cichla monoculus,PRJEB48774,SAMEA11744348,24.23
ERR10768276,Cichla temensis,PRJEB48774,SAMEA11744456,19.86
ERR10768283,Cichla temensis,PRJEB48774,SAMEA11744464,20.76
ERR10789842,Cichla temensis,PRJEB48774,SAMEA11744544,21.35
ERR10768222,Cichlasoma amazonarum,PRJEB48774,SAMEA11744411,18.74
ERR10789901,Cichlasoma amazonarum,PRJEB48774,SAMEA11744358,24.34
ERR10789914,Cichlasoma amazonarum,PRJEB48774,SAMEA11744431,19.87
ERR10768191,Cichlasoma bimaculatum,PRJEB48774,SAMEA11744357,17.54
ERR10789865,Cichlasoma bimaculatum,PRJEB48774,SAMEA11744384,24.96
