Scientific name,Family,Circularized,Complete ou parcial,NCBI,Bold systems
Acarichthys heckelii,Cichlidae,Yes,Complete,Unpublished,Presented COI
Acaronia nassa,Cichlidae,Yes,Complete,Unpublished,Presented COI
Aequidens pallidus,Cichlidae,Yes,Complete,Unpublished,Presented COI
Apistogramma sp. 'Cuieiras',Cichlidae,Yes,Complete,Unpublished,Not present
Astronotus ocellatus,Cichlidae,Yes,Complete,Published,Presented COI
Australoheros barbosae,Cichlidae,Yes,Complete,Unpublished,Not present
Biotodoma cupido,Cichlidae,Yes,Complete,Unpublished,Presented COI
Chaetobranchopsis orbicularis,Cichlidae,Yes,Complete,Published,Presented COI
Chaetobranchus flavescens,Cichlidae,Yes,Complete,Unpublished,Presented COI
Cichla monoculus,Cichlidae,Yes,Complete,Published,Presented COI
Cichla temensis,Cichlidae,Yes,Complete,Published,Presented COI
Cichlasoma amazonarum,Cichlidae,Yes,Complete,Unpublished,Not present
Cichlasoma bimaculatum,Cichlidae,Yes,Complete,Unpublished,Presented COI
Crenicichla lenticulata,Cichlidae,Yes,Complete,Unpublished,Not present
Crenicichla lugubris,Cichlidae,Yes,Complete,Unpublished,Not present
Crenicichla macrophthalma,Cichlidae,Yes,Complete,Unpublished,Presented COI
Crenicichla marmorata,Cichlidae,Yes,Complete,Unpublished,Not present
Crenicichla notophthalmus,Cichlidae,Yes,Complete,Unpublished,Not present
Geophagus dicrozoster,Cichlidae,Yes,Complete,Unpublished,Presented COI
Gymnogeophagus labiatus,Cichlidae,Yes,Complete,Unpublished,Presented COI
Gymnogeophagus rhabdotus,Cichlidae,Yes,Complete,Unpublished,Not present
Heros efasciatus,Cichlidae,Yes,Complete,Unpublished,Not present
Heros notatus,Cichlidae,Yes,Complete,Unpublished,Not present
Hypselecara temporalis,Cichlidae,Yes,Complete,Published,Presented COI
Mesonauta festivus,Cichlidae,Yes,Complete,Unpublished,Presented COI
Pterophyllum scalare,Cichlidae,Yes,Complete,Published,Presented COI
Satanoperca jurupari,Cichlidae,Yes,Complete,Unpublished,Presented COI
Satanoperca lilith,Cichlidae,Yes,Complete,Unpublished,Presented COI
Symphysodon discus,Cichlidae,Yes,Complete,Unpublished,Presented COI
Uaru amphiacanthoides,Cichlidae,Yes,Complete,Published,Presented COI
Arapaima gigas,Osteoglossidae,Yes,Complete,Published,Not present
Osteoglossum bicirrhosum,Osteoglossidae,Yes,Complete,Published,Not present
Colossoma macropomum,Serrasalmidae,Yes,Complete,Published,Not present
Pygocentrus nattereri,Serrasalmidae,Yes,Complete,Published,Not present
